timestamp,block_height,size,fees,price,num_txs,weight
1541343978,548745,1207450,0.11774980000000035,6349.25,2457,3993058
1541349481,548748,1260219,0.2428155099999998,6405.18,2618,3993111
1541353634,548753,1297400,0.17585562999999915,6416.6120710000005,1784,3998558
1541354046,548754,1588363,0.11133841999999916,6407.7,1880,3993238
1541356335,548757,1186053,0.2479270800000002,6444.861186,1948,3992859
1541356458,548758,1285973,0.08960955000000048,6444.936162,3102,3993263
1541360958,548768,1164115,0.06879295999999968,6422.560947,2854,3993316
1541361482,548772,1184803,0.04164221999999995,6422.805536,660,3993301
1541361489,548773,1183781,0.02944959000000047,6422.805536,162,3993200
1541361725,548774,1203009,0.07264731000000069,6431.460368,945,3998529
1541363951,548775,1232045,0.2669618899999993,6419.948874000001,2748,3993284
1541365201,548778,1165466,0.06219323999999915,6413.156103,1806,3992846
1541365817,548779,774968,0.09908596000000004,6420.727359,1374,2682653
1541366235,548781,1166336,0.034655309999999766,6422.307085,465,3993254
1541368502,548786,1481884,0.04234684000000044,6415.433086999999,1530,3998410
1541370785,548790,288,0.0,6414.913850999999,1,1152
1541372118,548794,1167565,0.10414622999999956,6411.283665,2534,3998575
1541376903,548797,288,0.0,6417.033724,1,1152
1541379480,548802,1162441,0.07386254999999943,6435.0085850000005,3231,3993202
1541381823,548808,497835,0.051226169999999634,6421.514929999999,1121,1711893
1541388377,548818,84939,0.04248049999999992,6420.240416,176,274797
1541389816,548819,1271381,0.21182381000000028,6419.295018,2837,3998246
1541391003,548824,439093,0.03445381000000046,6411.370835,678,1305100
1541391900,548827,660225,0.062018500000000636,6408.44,1058,2217399
1541397199,548831,1252791,0.1996783900000008,6407.52,2791,3993240
1541402658,548834,1307435,0.1786032199999994,6411.67,2867,3992672
1541408118,548839,1170704,0.1522471000000003,6391.332942,2050,3993164
1541408468,548841,1105099,0.07491847000000007,6387.596956,2465,3992806
1541410158,548843,1209929,0.21283339000000007,6400.280790999999,2610,3993305
1541410395,548844,1179882,0.09591074000000076,6401.706214,2358,3992832
1541412850,548847,1148507,0.2885333499999998,6402.110333,2607,3993101
1541420291,548856,1224680,0.1696809100000003,6407.52,2743,3993089
1541420839,548857,1259603,0.1500790599999995,6409.94,2376,3993257
1541425634,548864,1120235,0.21568781999999945,6409.164543,1696,3992969
1541426284,548866,1202337,0.20357167000000054,6409.725393,2328,3998520
1541428391,548870,1151823,0.1821714300000004,6416.954009,2469,3993201
